Section,Subsection,Content,URLs,Image Title,Image URL
External links,Languages,"^ Harrow, Aram; Hassidim, Avinatan; Lloyd, Seth (2009). ""Quantum algorithm for solving linear systems of equations"". Physical Review Letters. 103 (15): 150502. arXiv:0811.3171. Bibcode:2009PhRvL.103o0502H. doi:10.1103/PhysRevLett.103.150502. PMID 19905613. S2CID 5187993.",,,
External links,Languages,"^ Benedetti, Marcello; Realpe-Gómez, John; Biswas, Rupak; Perdomo-Ortiz, Alejandro (9 August 2016). ""Estimation of effective temperatures in quantum annealers for sampling applications: A case study with possible applications in deep learning"". Physical Review A. 94 (2): 022308. arXiv:1510.07611. Bibcode:2016PhRvA..94b2308B. doi:10.1103/PhysRevA.94.022308.",,,
External links,Languages,"^ Ajagekar, Akshay; You, Fengqi (5 December 2020). ""Quantum computing assisted deep learning for fault detection and diagnosis in industrial process systems"". Computers & Chemical Engineering. 143: 107119. arXiv:2003.00264. doi:10.1016/j.compchemeng.2020.107119. ISSN 0098-1354. S2CID 211678230.",,,
External links,Languages,"^ Ajagekar, Akshay; You, Fengqi (1 December 2021). ""Quantum computing based hybrid deep learning for fault diagnosis in electrical power systems"". Applied Energy. 303: 117628. Bibcode:2021ApEn..30317628A. doi:10.1016/j.apenergy.2021.117628. ISSN 0306-2619.",,,
External links,Languages,"^ Gao, Xun; Anschuetz, Eric R.; Wang, Sheng-Tao; Cirac, J. Ignacio; Lukin, Mikhail D. (2022). ""Enhancing Generative Models via Quantum Correlations"". Physical Review X. 12 (2): 021037. arXiv:2101.08354. Bibcode:2022PhRvX..12b1037G. doi:10.1103/PhysRevX.12.021037. S2CID 231662294.",,,
External links,Languages,"^ Li, Junde; Topaloglu, Rasit; Ghosh, Swaroop (9 January 2021). ""Quantum Generative Models for Small Molecule Drug Discovery"". arXiv:2101.03438 [cs.ET].",,,
External links,Languages,"^ a b c Brooks, Michael (24 May 2023). ""Quantum computers: what are they good for?"". Nature. 617 (7962): S1–S3. Bibcode:2023Natur.617S...1B. doi:10.1038/d41586-023-01692-9. PMID 37225885. S2CID 258847001.",,,
External links,Languages,"^ a b c d Torsten Hoefler; Thomas Häner; Matthias Troyer (May 2023). ""Disentangling Hype from Practicality: On Realistically Achieving Quantum Advantage"". Communications of the ACM.",,,
External links,Languages,"^ Dyakonov, Mikhail (15 November 2018). ""The Case Against Quantum Computing"". IEEE Spectrum.",,,
External links,Languages,"^ DiVincenzo, David P. (13 April 2000). ""The Physical Implementation of Quantum Computation"". Fortschritte der Physik. 48 (9–11): 771–783. arXiv:quant-ph/0002077. Bibcode:2000ForPh..48..771D. doi:10.1002/1521-3978(200009)48:9/11<771::AID-PROP771>3.0.CO;2-E. S2CID 15439711.",,,
External links,Languages,"^ Giles, Martin (17 January 2019). ""We'd have more quantum computers if it weren't so hard to find the damn cables"". MIT Technology Review. Retrieved 17 May 2021.",,,
External links,Languages,"^ Pauka SJ, Das K, Kalra B, Moini A, Yang Y, Trainer M, Bousquet A, Cantaloube C, Dick N, Gardner GC, Manfra MJ, Reilly DJ (2021). ""A cryogenic CMOS chip for generating control signals for multiple qubits"". Nature Electronics. 4 (4): 64–70. arXiv:1912.01299. doi:10.1038/s41928-020-00528-y. S2CID 231715555.",,,
External links,Languages,"^ DiVincenzo, David P. (1995). ""Quantum Computation"". Science. 270 (5234): 255–261. Bibcode:1995Sci...270..255D. CiteSeerX 10.1.1.242.2165. doi:10.1126/science.270.5234.255. S2CID 220110562.",,,
External links,Languages,"^ Zu, H.; Dai, W.; de Waele, A.T.A.M. (2022). ""Development of Dilution refrigerators – A review"". Cryogenics. 121. doi:10.1016/j.cryogenics.2021.103390. ISSN 0011-2275. S2CID 244005391.",,,
External links,Languages,"^ Jones, Nicola (19 June 2013). ""Computing: The quantum company"". Nature. 498 (7454): 286–288. Bibcode:2013Natur.498..286J. doi:10.1038/498286a. PMID 23783610.",,,
External links,Languages,"^ Vepsäläinen, Antti P.; Karamlou, Amir H.; Orrell, John L.; Dogra, Akshunna S.; Loer, Ben; et al. (August 2020). ""Impact of ionizing radiation on superconducting qubit coherence"". Nature. 584 (7822): 551–556. arXiv:2001.09190. Bibcode:2020Natur.584..551V. doi:10.1038/s41586-020-2619-8. ISSN 1476-4687. PMID 32848227. S2CID 210920566.",,,
External links,Languages,"^ Amy, Matthew; Matteo, Olivia; Gheorghiu, Vlad; Mosca, Michele; Parent, Alex; Schanck, John (30 November 2016). ""Estimating the cost of generic quantum pre-image attacks on SHA-2 and SHA-3"". arXiv:1603.09383 [quant-ph].",,,
External links,Languages,"^ Dyakonov, M. I. (14 October 2006). S. Luryi; Xu, J.; Zaslavsky, A. (eds.). ""Is Fault-Tolerant Quantum Computation Really Possible?"". Future Trends in Microelectronics. Up the Nano Creek: 4–18. arXiv:quant-ph/0610117. Bibcode:2006quant.ph.10117D.",,,
External links,Languages,"^ Ahsan, Muhammad (2015). Architecture Framework for Trapped-ion Quantum Computer based on Performance Simulation Tool. OCLC 923881411.",,,
External links,Languages,"^ Ahsan, Muhammad; Meter, Rodney Van; Kim, Jungsang (28 December 2016). ""Designing a Million-Qubit Quantum Computer Using a Resource Performance Simulator"". ACM Journal on Emerging Technologies in Computing Systems. 12 (4): 39:1–39:25. arXiv:1512.00796. doi:10.1145/2830570. ISSN 1550-4832. S2CID 1258374.",,,
External links,Languages,"^ Gidney, Craig; Ekerå, Martin (15 April 2021). ""How to factor 2048 bit RSA integers in 8 hours using 20 million noisy qubits"". Quantum. 5: 433. arXiv:1905.09749. Bibcode:2021Quant...5..433G. doi:10.22331/q-2021-04-15-433. ISSN 2521-327X. S2CID 162183806.",,,
External links,Languages,"^ Freedman, Michael H.; Kitaev, Alexei; Larsen, Michael J.; Wang, Zhenghan (2003). ""Topological quantum computation"". Bulletin of the American Mathematical Society. 40 (1): 31–38. arXiv:quant-ph/0101025. doi:10.1090/S0273-0979-02-00964-3. MR 1943131.",,,
External links,Languages,"^ Monroe, Don (1 October 2008). ""Anyons: The breakthrough quantum computing needs?"". New Scientist.",,,
External links,Languages,"^ Preskill, John (26 March 2012). ""Quantum computing and the entanglement frontier"". arXiv:1203.5813 [quant-ph].",,,
External links,Languages,"^ Preskill, John (6 August 2018). ""Quantum Computing in the NISQ era and beyond"". Quantum. 2: 79. arXiv:1801.00862. Bibcode:2018Quant...2...79P. doi:10.22331/q-2018-08-06-79.",,,
External links,Languages,"^ Boixo, Sergio; Isakov, Sergei V.; Smelyanskiy, Vadim N.; Babbush, Ryan; Ding, Nan; et al. (2018). ""Characterizing Quantum Supremacy in Near-Term Devices"". Nature Physics. 14 (6): 595–600. arXiv:1608.00263. Bibcode:2018NatPh..14..595B. doi:10.1038/s41567-018-0124-x. S2CID 4167494.",,,
External links,Languages,"^ Savage, Neil (5 July 2017). ""Quantum Computers Compete for ""Supremacy"""". Scientific American.",,,
External links,Languages,"^ Giles, Martin (20 September 2019). ""Google researchers have reportedly achieved 'quantum supremacy'"". MIT Technology Review. Retrieved 15 May 2020.",,,
External links,Languages,"^ Tavares, Frank (23 October 2019). ""Google and NASA Achieve Quantum Supremacy"". NASA. Retrieved 16 November 2021.",,,
External links,Languages,"^ Pednault, Edwin; Gunnels, John A.; Nannicini, Giacomo; Horesh, Lior; Wisnieff, Robert (22 October 2019). ""Leveraging Secondary Storage to Simulate Deep 54-qubit Sycamore Circuits"". arXiv:1910.09534 [quant-ph].",,,
External links,Languages,"^ Cho, Adrian (23 October 2019). ""IBM casts doubt on Google's claims of quantum supremacy"". Science. doi:10.1126/science.aaz6080. ISSN 0036-8075. S2CID 211982610.",,,
External links,Languages,"^ Liu, Yong (Alexander); Liu, Xin (Lucy); Li, Fang (Nancy); Fu, Haohuan; Yang, Yuling; et al. (14 November 2021). ""Closing the ""quantum supremacy"" gap"". Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis. SC '21. New York, New York: Association for Computing Machinery. pp. 1–12. arXiv:2110.14502. doi:10.1145/3458817.3487399. ISBN 978-1-4503-8442-1. S2CID 239036985.",,,
External links,Languages,"^ Bulmer, Jacob F. F.; Bell, Bryn A.; Chadwick, Rachel S.; Jones, Alex E.; Moise, Diana; et al. (28 January 2022). ""The boundary for quantum advantage in Gaussian boson sampling"". Science Advances. 8 (4): eabl9236. arXiv:2108.01622. Bibcode:2022SciA....8.9236B. doi:10.1126/sciadv.abl9236. ISSN 2375-2548. PMC 8791606. PMID 35080972.",,,
External links,Languages,"^ McCormick, Katie (10 February 2022). ""Race Not Over Between Classical and Quantum Computers"". Physics. 15: 19. Bibcode:2022PhyOJ..15...19M. doi:10.1103/Physics.15.19. S2CID 246910085.",,,
External links,Languages,"^ Pan, Feng; Chen, Keyang; Zhang, Pan (2022). ""Solving the Sampling Problem of the Sycamore Quantum Circuits"". Physical Review Letters. 129 (9): 090502. arXiv:2111.03011. Bibcode:2022PhRvL.129i0502P. doi:10.1103/PhysRevLett.129.090502. PMID 36083655. S2CID 251755796.",,,
External links,Languages,"^ Cho, Adrian (2 August 2022). ""Ordinary computers can beat Google's quantum computer after all"". Science. 377. doi:10.1126/science.ade2364.",,,
External links,Languages,"^ ""Google's 'quantum supremacy' usurped by researchers using ordinary supercomputer"". TechCrunch. 5 August 2022. Retrieved 7 August 2022.",,,
External links,Languages,"^ Ball, Philip (3 December 2020). ""Physicists in China challenge Google's 'quantum advantage'"". Nature. 588 (7838): 380. Bibcode:2020Natur.588..380B. doi:10.1038/d41586-020-03434-7. PMID 33273711. S2CID 227282052.",,,
External links,Languages,"^ Garisto, Daniel. ""Light-based Quantum Computer Exceeds Fastest Classical Supercomputers"". Scientific American. Retrieved 7 December 2020.",,,
External links,Languages,"^ Conover, Emily (3 December 2020). ""The new light-based quantum computer Jiuzhang has achieved quantum supremacy"". Science News. Retrieved 7 December 2020.",,,
External links,Languages,"^ Zhong, Han-Sen; Wang, Hui; Deng, Yu-Hao; Chen, Ming-Cheng; Peng, Li-Chao; et al. (3 December 2020). ""Quantum computational advantage using photons"". Science. 370 (6523): 1460–1463. arXiv:2012.01625. Bibcode:2020Sci...370.1460Z. doi:10.1126/science.abe8770. ISSN 0036-8075. PMID 33273064. S2CID 227254333.",,,
External links,Languages,"^ Roberson, Tara M. (21 May 2020). ""{{subst:title case",,,
External links,Languages,"^ Cavaliere, Fabio; Mattsson, John; Smeets, Ben (September 2020). ""The security implications of quantum cryptography and quantum computing"". Network Security. 2020 (9): 9–15. doi:10.1016/S1353-4858(20)30105-7. ISSN 1353-4858. S2CID 222349414.",,,
External links,Languages,"^ Liu, Yong; Chen, Yaojian; Guo, Chu; Song, Jiawei; Shi, Xinmin; Gan, Lin; Wu, Wenzhao; Wu, Wei; Fu, Haohuan; Liu, Xin; Chen, Dexun; Zhao, Zhifeng; Yang, Guangwen; Gao, Jiangang (16 January 2024). ""Verifying Quantum Advantage Experiments with Multiple Amplitude Tensor Network Contraction"". Physical Review Letters. 132 (3): 030601. arXiv:2212.04749. Bibcode:2024PhRvL.132c0601L. doi:10.1103/PhysRevLett.132.030601. ISSN 0031-9007. PMID 38307065.",,,
External links,Languages,"^ Monroe, Don (December 2022). ""Quantum Computers and the Universe"". Communications of the ACM.",,,
External links,Languages,"^ Swayne, Matt (20 June 2023). ""PsiQuantum Sees 700x Reduction in Computational Resource Requirements to Break Elliptic Curve Cryptography With a Fault Tolerant Quantum Computer"". The Quanrum Insider.",,,
External links,Languages,"^ Unruh, Bill (1995). ""Maintaining coherence in Quantum Computers"". Physical Review A. 51 (2): 992–997. arXiv:hep-th/9406058. Bibcode:1995PhRvA..51..992U. doi:10.1103/PhysRevA.51.992. PMID 9911677. S2CID 13980886.",,,
External links,Languages,"^ Davies, Paul (6 March 2007). ""The implications of a holographic universe for quantum information science and the nature of physical law"". arXiv:quant-ph/0703041.",,,
External links,Languages,"^ Regan, K. W. (23 April 2016). ""Quantum Supremacy and Complexity"". Gödel's Lost Letter and P=NP.",,,
External links,Languages,"^ Kalai, Gil (May 2016). ""The Quantum Computer Puzzle"" (PDF). Notices of the AMS. 63 (5): 508–516.",,,
External links,Languages,"^ Rinott, Yosef; Shoham, Tomer; Kalai, Gil (13 July 2021). ""Statistical Aspects of the Quantum Supremacy Demonstration"". arXiv:2008.05177 [quant-ph].",,,
External links,Languages,"^ Dyakonov, Mikhail (15 November 2018). ""The Case Against Quantum Computing"". IEEE Spectrum. Retrieved 3 December 2019.",,,
External links,Languages,"^ Dyakonov, Mikhail (24 March 2020). Will We Ever Have a Quantum Computer?. Springer. ISBN 9783030420185. Retrieved 22 May 2020.[page needed]",,,
External links,Languages,"^ Tacchino, Francesco; Chiesa, Alessandro; Carretta, Stefano; Gerace, Dario (19 December 2019). ""Quantum Computers as Universal Quantum Simulators: State-of-the-Art and Perspectives"". Advanced Quantum Technologies. 3 (3): 1900052. arXiv:1907.03505. doi:10.1002/qute.201900052. ISSN 2511-9044. S2CID 195833616.",,,
External links,Languages,"^ Grumbling & Horowitz 2019, p. 127.",,,
External links,Languages,"^ Grumbling & Horowitz 2019, p. 114.",,,
External links,Languages,"^ Grumbling & Horowitz 2019, p. 119.",,,
External links,Languages,"^ Grumbling & Horowitz 2019, p. 126.",,,
External links,Languages,"^ Nielsen & Chuang 2010, p. 29.",,,
External links,Languages,"^ Nielsen & Chuang 2010, p. 126.",,,
External links,Languages,"^ Nielsen & Chuang 2010, p. 41.",,,
External links,Languages,"^ Nielsen & Chuang 2010, p. 201.",,,
External links,Languages,"^ Bernstein, Ethan; Vazirani, Umesh (1997). ""Quantum Complexity Theory"". SIAM Journal on Computing. 26 (5): 1411–1473. CiteSeerX 10.1.1.144.7852. doi:10.1137/S0097539796300921.",,,
External links,Languages,"Aaronson, Scott (2013). Quantum Computing Since Democritus. Cambridge University Press. doi:10.1017/CBO9780511979309. ISBN 978-0-521-19956-8. OCLC 829706638.",,,
External links,Languages,"Grumbling, Emily; Horowitz, Mark, eds. (2019). Quantum Computing: Progress and Prospects. Washington, DC: The National Academies Press. doi:10.17226/25196. ISBN 978-0-309-47970-7. OCLC 1091904777. S2CID 125635007.",,,
External links,Languages,"Mermin, N. David (2007). Quantum Computer Science: An Introduction. doi:10.1017/CBO9780511813870. ISBN 978-0-511-34258-5. OCLC 422727925.",,,
External links,Languages,"Nielsen, Michael; Chuang, Isaac (2010). Quantum Computation and Quantum Information (10th anniversary ed.). doi:10.1017/CBO9780511976667. ISBN 978-0-511-99277-3. OCLC 700706156. S2CID 59717455.",,,
External links,Languages,"Shor, Peter W. (1994). Algorithms for Quantum Computation: Discrete Logarithms and Factoring. Symposium on Foundations of Computer Science. Santa Fe, New Mexico: IEEE. pp. 124–134. doi:10.1109/SFCS.1994.365700. ISBN 978-0-8186-6580-6.",,,
External links,Languages,"Akama, Seiki (2014). Elements of Quantum Computing: History, Theories and Engineering Applications. Springer. doi:10.1007/978-3-319-08284-4. ISBN 978-3-319-08284-4. OCLC 884786739.",,,
External links,Languages,"Benenti, Giuliano; Casati, Giulio; Rossini, Davide; Strini, Giuliano (2019). Principles of Quantum Computation and Information: A Comprehensive Textbook (2nd ed.). doi:10.1142/10909. ISBN 978-981-3237-23-0. OCLC 1084428655. S2CID 62280636.",,,
External links,Languages,"Bernhardt, Chris (2019). Quantum Computing for Everyone. MIT Press. ISBN 978-0-262-35091-4. OCLC 1082867954.",,,
External links,Languages,"Hidary, Jack D. (2021). Quantum Computing: An Applied Approach (2nd ed.). doi:10.1007/978-3-030-83274-2. ISBN 978-3-03-083274-2. OCLC 1272953643. S2CID 238223274.",,,
External links,Languages,"Hiroshi, Imai; Masahito, Hayashi, eds. (2006). Quantum Computation and Information: From Theory to Experiment. Topics in Applied Physics. Vol. 102. doi:10.1007/3-540-33133-6. ISBN 978-3-540-33133-9.",,,
External links,Languages,"Hughes, Ciaran; Isaacson, Joshua; Perry, Anastasia; Sun, Ranbel F.; Turner, Jessica (2021). Quantum Computing for the Quantum Curious (PDF). doi:10.1007/978-3-030-61601-4. ISBN 978-3-03-061601-4. OCLC 1244536372. S2CID 242566636.",,,
External links,Languages,"Jaeger, Gregg (2007). Quantum Information: An Overview. doi:10.1007/978-0-387-36944-0. ISBN 978-0-387-36944-0. OCLC 186509710.",,,
External links,Languages,"Johnston, Eric R.; Harrigan, Nic; Gimeno-Segovia, Mercedes (2019). Programming Quantum Computers: Essential Algorithms and Code Samples. O'Reilly Media, Incorporated. ISBN 978-1-4920-3968-6. OCLC 1111634190.",,,
External links,Languages,"Kaye, Phillip; Laflamme, Raymond; Mosca, Michele (2007). An Introduction to Quantum Computing. OUP Oxford. ISBN 978-0-19-857000-4. OCLC 85896383.",,,
External links,Languages,"Kitaev, Alexei Yu.; Shen, Alexander H.; Vyalyi, Mikhail N. (2002). Classical and Quantum Computation. American Mathematical Soc. ISBN 978-0-8218-3229-5. OCLC 907358694.",,,
External links,Languages,"Kurgalin, Sergei; Borzunov, Sergei (2021). Concise Guide to Quantum Computing: Algorithms, Exercises, and Implementations. Springer. doi:10.1007/978-3-030-65052-0. ISBN 978-3-030-65052-0.",,,
External links,Languages,"Stolze, Joachim; Suter, Dieter (2004). Quantum Computing: A Short Course from Theory to Experiment. doi:10.1002/9783527617760. ISBN 978-3-527-61776-0. OCLC 212140089.",,,
External links,Languages,"Susskind, Leonard; Friedman, Art (2014). Quantum Mechanics: The Theoretical Minimum. New York: Basic Books. ISBN 978-0-465-08061-8.",,,
External links,Languages,"Wichert, Andreas (2020). Principles of Quantum Artificial Intelligence: Quantum Problem Solving and Machine Learning (2nd ed.). doi:10.1142/11938. ISBN 978-981-12-2431-7. OCLC 1178715016. S2CID 225498497.",,,
External links,Languages,"Wong, Thomas (2022). Introduction to Classical and Quantum Computing (PDF). Rooted Grove. ISBN 979-8-9855931-0-5. OCLC 1308951401. Archived from the original (PDF) on 29 January 2022. Retrieved 6 February 2022.",,,
External links,Languages,"Zeng, Bei; Chen, Xie; Zhou, Duan-Lu; Wen, Xiao-Gang (2019). Quantum Information Meets Quantum Matter. arXiv:1508.02595. doi:10.1007/978-1-4939-9084-9. ISBN 978-1-4939-9084-9. OCLC 1091358969. S2CID 118528258.",,,
External links,Languages,"Abbot, Derek; Doering, Charles R.; Caves, Carlton M.; Lidar, Daniel M.; Brandt, Howard E.; et al. (2003). ""Dreams versus Reality: Plenary Debate Session on Quantum Computing"". Quantum Information Processing. 2 (6): 449–472. arXiv:quant-ph/0310130. Bibcode:2003QuIP....2..449A. doi:10.1023/B:QINP.0000042203.24782.9a. hdl:2027.42/45526. S2CID 34885835.",,,
External links,Languages,"Berthiaume, Andre (1 December 1998). ""Quantum Computation"". Solution Manual for Quantum Mechanics. pp. 233–234. doi:10.1142/9789814541893_0016. ISBN 978-981-4541-88-6. S2CID 128255429 – via Semantic Scholar.",,,
External links,Languages,"DiVincenzo, David P. (2000). ""The Physical Implementation of Quantum Computation"". Fortschritte der Physik. 48 (9–11): 771–783. arXiv:quant-ph/0002077. Bibcode:2000ForPh..48..771D. doi:10.1002/1521-3978(200009)48:9/11<771::AID-PROP771>3.0.CO;2-E. S2CID 15439711.",,,
External links,Languages,"DiVincenzo, David P. (1995). ""Quantum Computation"". Science. 270 (5234): 255–261. Bibcode:1995Sci...270..255D. CiteSeerX 10.1.1.242.2165. doi:10.1126/science.270.5234.255. S2CID 220110562. Table 1 lists switching and dephasing times for various systems.",,,
External links,Languages,"Feynman, Richard (1982). ""Simulating physics with computers"". International Journal of Theoretical Physics. 21 (6–7): 467–488. Bibcode:1982IJTP...21..467F. CiteSeerX 10.1.1.45.9310. doi:10.1007/BF02650179. S2CID 124545445.",,,
External links,Languages,"Jeutner, Valentin (2021). ""The Quantum Imperative: Addressing the Legal Dimension of Quantum Computers"". Morals & Machines. 1 (1): 52–59. doi:10.5771/2747-5174-2021-1-52. S2CID 236664155.",,,
External links,Languages,"Krantz, P.; Kjaergaard, M.; Yan, F.; Orlando, T. P.; Gustavsson, S.; Oliver, W. D. (17 June 2019). ""A Quantum Engineer's Guide to Superconducting Qubits"". Applied Physics Reviews. 6 (2): 021318. arXiv:1904.06560. Bibcode:2019ApPRv...6b1318K. doi:10.1063/1.5089550. ISSN 1931-9401. S2CID 119104251.",,,
External links,Languages,"Mitchell, Ian (1998). ""Computing Power into the 21st Century: Moore's Law and Beyond"".",,,
External links,Languages,"Simon, Daniel R. (1994). ""On the Power of Quantum Computation"". Institute of Electrical and Electronics Engineers Computer Society Press.",,,
External links,Languages,Media related to Quantum computer at Wikimedia Commons,,,
External links,Languages,Learning materials related to Quantum computing at Wikiversity,,,
External links,Languages,"Stanford Encyclopedia of Philosophy: ""Quantum Computing"" by Amit Hagar and Michael E. Cuffaro.",,,
External links,Languages,"""Quantum computation, theory of"", Encyclopedia of Mathematics, EMS Press, 2001 [1994]",,,
External links,Languages,Quantum computing for the very curious by Andy Matuschak and Michael Nielsen,,,
External links,Languages,Quantum computing for the determined – 22 video lectures by Michael Nielsen,,,
External links,Languages,Video Lectures by David Deutsch,,,
External links,Languages,Lectures at the Institut Henri Poincaré (slides and videos),,,
External links,Languages,"Online lecture on An Introduction to Quantum Computing, Edward Gerjuoy (2008)",,,
External links,Languages,"Lomonaco, Sam. Four Lectures on Quantum Computing given at Oxford University in July 2006",,,
External links,Languages,Afrikaans,,,
External links,Languages,العربية,,,
External links,Languages,Asturianu,,,
External links,Languages,বাংলা,,,
External links,Languages,Bosanski,,,
External links,Languages,Català,,,
External links,Languages,Dansk,,,
External links,Languages,Deutsch,,,
External links,Languages,Ελληνικά,,,
External links,Languages,Español,,,
External links,Languages,Esperanto,,,
External links,Languages,Euskara,,,
External links,Languages,فارسی,,,
External links,Languages,Français,,,
External links,Languages,Gaeilge,,,
External links,Languages,한국어,,,
External links,Languages,Bahasa Indonesia,,,
External links,Languages,IsiZulu,,,
External links,Languages,Italiano,,,
External links,Languages,עברית,,,
External links,Languages,Nederlands,,,
External links,Languages,日本語,,,
External links,Languages,Português,,,
External links,Languages,Runa Simi,,,
External links,Languages,Simple English,,,
External links,Languages,Српски / srpski,,,
External links,Languages,Suomi,,,
External links,Languages,Svenska,,,
External links,Languages,தமிழ்,,,
External links,Languages,తెలుగు,,,
External links,Languages,اردو,,,
External links,Languages,Tiếng Việt,,,
External links,Languages,粵語,,,
External links,Languages,中文,,,
External links,Languages,"This page was last edited on 30 August 2024, at 08:28 (UTC).",,,
External links,Languages,Content is available under CC BY-SA 4.0 unless otherwise noted.,,,
External links,Languages,Privacy policy,,,
External links,Languages,About Wikipedia,,,
External links,Languages,Disclaimers,,,
External links,Languages,Contact Wikipedia,,,
External links,Languages,Code of Conduct,,,
External links,Languages,Developers,,,
External links,Languages,Statistics,,,
External links,Languages,Cookie statement,,,
External links,Languages,Terms of Use,,,
External links,Languages,Desktop,,,
,,,,Wikipedia,https://en.m.wikipedia.org/static/images/mobile/copyright/wikipedia-wordmark-en.svg
,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/IBM_Q_system_%28Fraunhofer_2%29.jpg/260px-IBM_Q_system_%28Fraunhofer_2%29.jpg
,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a0/Mach-Zehnder_photons_animation.gif/200px-Mach-Zehnder_photons_animation.gif
,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Peter_Shor_2017_Dirac_Medal_Award_Ceremony.png/200px-Peter_Shor_2017_Dirac_Medal_Award_Ceremony.png
,,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Bloch_sphere.svg/220px-Bloch_sphere.svg.png
,,,,{\displaystyle |\psi \rangle =\alpha |0\rangle +\beta |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/259aaac5393082d769c30b0b58fd0fafe4032d8d
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
,,,,{\displaystyle |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/2f53021ca18e77477ee5bd3c1523e5830189ec5c
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
,,,,{\displaystyle |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/2f53021ca18e77477ee5bd3c1523e5830189ec5c
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
,,,,{\displaystyle |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/2f53021ca18e77477ee5bd3c1523e5830189ec5c
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
,,,,{\displaystyle |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/2f53021ca18e77477ee5bd3c1523e5830189ec5c
,,,,{\displaystyle |\psi \rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/cc27f1893b769a08cd6b296e115a29e61cab675e
,,,,{\displaystyle \psi },https://wikimedia.org/api/rest_v1/media/math/render/svg/45e5789e5d9c8f7c79744f43ecaaf8ba42a8553a
,,,,{\displaystyle \alpha |0\rangle +\beta |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/e10ab241f89535b2255509d41f39bfbbed35830b
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
,,,,{\displaystyle |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/2f53021ca18e77477ee5bd3c1523e5830189ec5c
,,,,{\displaystyle \alpha },https://wikimedia.org/api/rest_v1/media/math/render/svg/b79333175c8b3f0840bfb4ec41b8072c83ea88d3
,,,,{\displaystyle \beta },https://wikimedia.org/api/rest_v1/media/math/render/svg/7ed48a5e36207156fb792fa79d29925d2f7901e8
,,,,{\displaystyle \alpha },https://wikimedia.org/api/rest_v1/media/math/render/svg/b79333175c8b3f0840bfb4ec41b8072c83ea88d3
,,,,{\displaystyle \beta },https://wikimedia.org/api/rest_v1/media/math/render/svg/7ed48a5e36207156fb792fa79d29925d2f7901e8
,,,,{\displaystyle \alpha |0\rangle +\beta |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/e10ab241f89535b2255509d41f39bfbbed35830b
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
,,,,{\displaystyle |\alpha |^{2}},https://wikimedia.org/api/rest_v1/media/math/render/svg/fa34618537661f2d4d710cc26e8afe891f50f7b8
,,,,{\displaystyle |1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/2f53021ca18e77477ee5bd3c1523e5830189ec5c
,,,,{\displaystyle |\beta |^{2}},https://wikimedia.org/api/rest_v1/media/math/render/svg/4caecb560883af3b9c0c3a1d0e13aae75f121d0d
,,,,{\displaystyle \alpha },https://wikimedia.org/api/rest_v1/media/math/render/svg/b79333175c8b3f0840bfb4ec41b8072c83ea88d3
,,,,{\displaystyle \beta },https://wikimedia.org/api/rest_v1/media/math/render/svg/7ed48a5e36207156fb792fa79d29925d2f7901e8
,,,,{\displaystyle |\alpha |^{2}+|\beta |^{2}=1},https://wikimedia.org/api/rest_v1/media/math/render/svg/18cd7473cdb894839d10852890517b1fb687c73b
,,,,{\displaystyle 1/{\sqrt {2}}|0\rangle +1/{\sqrt {2}}|1\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/c6d1003ac2c368cb0f7535b4902062b29af36df3
,,,,{\displaystyle |0\rangle },https://wikimedia.org/api/rest_v1/media/math/render/svg/ed066a3ad158da0ad6d6a421a606b1c8a35eb95b
